,value,time,device
523,26,1651175622,AHT10temp
524,26,1651176223,AHT10temp
525,26,1651176824,AHT10temp
526,26,1651177425,AHT10temp
527,26,1651178026,AHT10temp
528,26,1651178627,AHT10temp
529,26,1651179228,AHT10temp
530,26,1651179829,AHT10temp
531,26,1651180431,AHT10temp
532,26,1651181032,AHT10temp
533,26,1651181633,AHT10temp
534,26,1651182234,AHT10temp
535,26,1651182835,AHT10temp
536,26,1651183436,AHT10temp
537,26,1651184037,AHT10temp
538,26,1651184638,AHT10temp
539,26,1651185240,AHT10temp
540,26,1651185841,AHT10temp
541,26,1651186442,AHT10temp
542,26,1651187043,AHT10temp
543,26,1651187644,AHT10temp
544,26,1651188245,AHT10temp
545,26,1651188846,AHT10temp
546,26,1651189447,AHT10temp
547,26,1651190048,AHT10temp
548,26,1651190650,AHT10temp
549,26,1651191251,AHT10temp
550,26,1651191852,AHT10temp
551,25,1651192453,AHT10temp
552,25,1651193054,AHT10temp
553,25,1651193655,AHT10temp
554,25,1651194256,AHT10temp
555,25,1651194857,AHT10temp
556,25,1651195458,AHT10temp
557,25,1651196060,AHT10temp
558,25,1651196661,AHT10temp
559,25,1651197262,AHT10temp
560,25,1651197863,AHT10temp
561,25,1651198464,AHT10temp
562,25,1651199065,AHT10temp
563,25,1651199666,AHT10temp
564,25,1651200267,AHT10temp
565,25,1651200868,AHT10temp
566,25,1651201470,AHT10temp
567,25,1651202071,AHT10temp
568,25,1651202672,AHT10temp
569,25,1651203273,AHT10temp
570,25,1651203874,AHT10temp
571,25,1651204476,AHT10temp
572,25,1651205077,AHT10temp
573,25,1651205678,AHT10temp
574,25,1651206279,AHT10temp
575,25,1651206880,AHT10temp
576,25,1651207481,AHT10temp
577,25,1651208082,AHT10temp
578,25,1651208684,AHT10temp
579,25,1651209285,AHT10temp
580,25,1651209886,AHT10temp
581,25,1651210487,AHT10temp
582,25,1651211088,AHT10temp
583,25,1651211689,AHT10temp
584,25,1651212290,AHT10temp
585,25,1651212891,AHT10temp
586,25,1651213493,AHT10temp
587,25,1651214094,AHT10temp
588,25,1651214695,AHT10temp
589,25,1651215296,AHT10temp
590,25,1651215897,AHT10temp
591,25,1651216498,AHT10temp
592,25,1651217099,AHT10temp
593,25,1651217700,AHT10temp
594,24,1651218301,AHT10temp
595,25,1651218902,AHT10temp
596,24,1651219504,AHT10temp
597,24,1651220105,AHT10temp
598,24,1651220706,AHT10temp
599,24,1651221307,AHT10temp
600,24,1651221908,AHT10temp
601,24,1651222509,AHT10temp
602,24,1651223110,AHT10temp
603,24,1651223711,AHT10temp
604,24,1651224313,AHT10temp
605,24,1651224914,AHT10temp
606,24,1651225515,AHT10temp
607,24,1651226116,AHT10temp
608,24,1651226717,AHT10temp
609,24,1651227318,AHT10temp
610,24,1651227919,AHT10temp
611,24,1651228520,AHT10temp
612,25,1651229121,AHT10temp
613,25,1651229722,AHT10temp
614,25,1651230324,AHT10temp
615,25,1651230925,AHT10temp
616,25,1651231526,AHT10temp
617,25,1651232127,AHT10temp
618,25,1651232728,AHT10temp
619,25,1651233329,AHT10temp
620,25,1651233930,AHT10temp
621,25,1651234531,AHT10temp
622,25,1651235133,AHT10temp
623,25,1651235734,AHT10temp
624,25,1651236335,AHT10temp
625,25,1651236937,AHT10temp
626,25,1651237538,AHT10temp
627,25,1651238139,AHT10temp
628,25,1651238740,AHT10temp
629,25,1651239341,AHT10temp
630,25,1651239942,AHT10temp
631,25,1651240543,AHT10temp
632,25,1651241144,AHT10temp
633,25,1651241746,AHT10temp
634,25,1651242347,AHT10temp
635,25,1651242948,AHT10temp
636,25,1651243549,AHT10temp
637,25,1651244150,AHT10temp
638,25,1651244751,AHT10temp
639,25,1651245352,AHT10temp
640,24,1651245953,AHT10temp
641,25,1651246555,AHT10temp
642,25,1651247156,AHT10temp
643,25,1651247757,AHT10temp
644,25,1651248358,AHT10temp
645,25,1651248959,AHT10temp
646,25,1651249560,AHT10temp
647,25,1651250161,AHT10temp
648,25,1651250762,AHT10temp
649,25,1651251363,AHT10temp
650,25,1651251965,AHT10temp
651,25,1651252566,AHT10temp
652,25,1651253167,AHT10temp
653,25,1651253773,AHT10temp
654,25,1651254374,AHT10temp
655,25,1651254975,AHT10temp
656,25,1651255576,AHT10temp
657,25,1651256177,AHT10temp
658,25,1651256779,AHT10temp
659,25,1651257380,AHT10temp
660,25,1651257981,AHT10temp
661,25,1651258582,AHT10temp
662,26,1651259183,AHT10temp
663,24,1651259784,AHT10temp
664,25,1651260385,AHT10temp
665,25,1651260986,AHT10temp
666,25,1651261587,AHT10temp
667,25,1651262189,AHT10temp
668,25,1651262790,AHT10temp
669,25,1651263391,AHT10temp
670,25,1651263992,AHT10temp
671,25,1651264593,AHT10temp
672,25,1651265194,AHT10temp
673,25,1651265795,AHT10temp
674,25,1651266397,AHT10temp
675,25,1651266998,AHT10temp
676,25,1651267599,AHT10temp
677,25,1651268200,AHT10temp
678,25,1651268801,AHT10temp
679,25,1651269403,AHT10temp
680,25,1651270004,AHT10temp
681,25,1651270605,AHT10temp
682,25,1651271206,AHT10temp
683,25,1651271807,AHT10temp
684,25,1651272408,AHT10temp
685,25,1651273009,AHT10temp
686,25,1651273610,AHT10temp
687,25,1651274211,AHT10temp
688,25,1651274813,AHT10temp
689,25,1651275414,AHT10temp
690,25,1651276015,AHT10temp
691,25,1651276616,AHT10temp
692,25,1651277217,AHT10temp
693,25,1651277818,AHT10temp
694,25,1651278419,AHT10temp
695,25,1651279020,AHT10temp
696,25,1651279622,AHT10temp
697,25,1651280223,AHT10temp
698,25,1651280824,AHT10temp
699,25,1651281425,AHT10temp
700,25,1651282026,AHT10temp
701,25,1651282627,AHT10temp
702,25,1651283228,AHT10temp
703,25,1651283829,AHT10temp
704,25,1651284430,AHT10temp
705,25,1651285032,AHT10temp
706,25,1651285633,AHT10temp
707,25,1651286234,AHT10temp
708,25,1651286835,AHT10temp
709,25,1651287436,AHT10temp
710,25,1651288037,AHT10temp
711,25,1651288638,AHT10temp
712,25,1651289239,AHT10temp
713,25,1651289840,AHT10temp
714,25,1651290442,AHT10temp
715,25,1651291043,AHT10temp
716,25,1651291644,AHT10temp
717,25,1651292245,AHT10temp
718,25,1651292846,AHT10temp
719,25,1651293447,AHT10temp
720,25,1651294048,AHT10temp
721,25,1651294649,AHT10temp
722,25,1651295251,AHT10temp
723,25,1651295852,AHT10temp
724,25,1651296453,AHT10temp
725,25,1651297054,AHT10temp
726,25,1651297655,AHT10temp
727,24,1651298256,AHT10temp
728,24,1651298858,AHT10temp
729,24,1651299459,AHT10temp
730,24,1651300060,AHT10temp
731,24,1651300661,AHT10temp
732,24,1651301262,AHT10temp
733,24,1651301864,AHT10temp
734,24,1651302465,AHT10temp
735,24,1651303066,AHT10temp
736,24,1651303667,AHT10temp
737,24,1651304268,AHT10temp
738,24,1651304869,AHT10temp
739,24,1651305470,AHT10temp
740,24,1651306071,AHT10temp
741,24,1651306672,AHT10temp
742,24,1651307274,AHT10temp
743,24,1651307875,AHT10temp
744,24,1651308476,AHT10temp
745,24,1651309077,AHT10temp
746,24,1651309678,AHT10temp
747,24,1651310279,AHT10temp
748,24,1651310880,AHT10temp
749,24,1651311481,AHT10temp
750,24,1651312082,AHT10temp
751,24,1651312684,AHT10temp
752,24,1651313285,AHT10temp
753,24,1651313886,AHT10temp
754,24,1651314487,AHT10temp
755,24,1651315088,AHT10temp
756,24,1651315689,AHT10temp
757,24,1651316290,AHT10temp
758,24,1651316891,AHT10temp
759,24,1651317492,AHT10temp
760,24,1651318094,AHT10temp
761,24,1651318695,AHT10temp
762,24,1651319296,AHT10temp
763,24,1651319897,AHT10temp
764,24,1651320498,AHT10temp
765,24,1651321099,AHT10temp
766,24,1651321700,AHT10temp
767,24,1651322301,AHT10temp
768,24,1651322902,AHT10temp
769,24,1651323504,AHT10temp
770,24,1651324105,AHT10temp
771,24,1651324706,AHT10temp
